full_address_or_zip_code,zipcode,date_of_sale,sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
"30-85 Vernon Blvd., Astoria, NY 11102",11102,2016-05-19,2016.0,5.0,1,1,2,0,2,,1,1,4,,4.0,2.0,30.0,2006.0,883.0,83,,0,665000.0
"34 21 78th Street,  Jackson Heights NY, 11372",11372,2016-05-20,2016.0,9.0,0,0,1,0,2,6.0,1,0,5,,3.0,2.0,30.0,1939.0,950.0,83,951.0,0,399000.0
"226-26 Union Tpke,  Bayside NY, 11364",11364,2016-05-23,2016.0,1.0,1,1,1,0,2,6.0,2,0,5,5.0,3.0,5.0,23.0,1956.0,1300.0,59,1023.0,0,350000.0
"34-35 82 Street, Jackson Heights, NY 11372",11372,2016-05-23,2016.0,9.0,1,1,1,0,2,5.0,1,0,5,5.0,1.0,2.0,30.0,1915.0,,99,,0,498000.0
"144-60 Gravett Rd,  Flushing NY, 11367",11367,2016-05-24,2016.0,3.0,0,0,1,0,1,,1,0,3,3.0,1.0,4.0,26.0,1950.0,,82,728.0,0,89000.0
"5110 30th Ave,  Woodside NY, 11377",11377,2016-05-25,2016.0,9.0,0,0,1,0,1,6.0,1,0,3,,3.0,4.0,30.0,1935.0,700.0,90,523.0,0,278000.0
"67-25 Dartmouth St,  Forest Hills NY, 11375",11375,2016-05-25,2016.0,6.0,0,0,1,0,3,7.0,2,0,6,,3.0,4.0,28.0,1960.0,1300.0,92,1338.0,120,560000.0
"8401 Main St,  Briarwood NY, 11435",11435,2016-05-26,2016.0,4.0,1,1,1,0,2,7.0,2,0,5,3.0,1.0,4.0,28.0,1955.0,,82,1077.0,90,262000.0
"150-81 Village Rd,  Kew Garden Hills NY, 11367",11367,2016-05-26,2016.0,3.0,1,1,1,0,2,2.0,1,0,5,4.0,3.0,2.0,28.0,1950.0,1000.0,88,1371.0,75,215000.0
"65-38 Booth Street, Rego Park, NY 11374",11374,2016-05-26,2016.0,6.0,0,0,1,0,1,6.0,1,0,3,3.0,3.0,4.0,28.0,1940.0,600.0,94,564.0,0,170000.0
"160-10 89th Ave,  Jamaica NY, 11432",11432,2016-05-26,2016.0,4.0,0,0,1,0,0,15.0,1,0,2,,1.0,2.0,28.0,1961.0,,99,543.0,0,78000.0
"13-22 208th Pl,  Bayside NY, 11360",11360,2016-05-27,2016.0,2.0,1,1,2,0,2,,2,0,5,3.0,3.0,5.0,25.0,1985.0,1300.0,59,,0,630000.0
