full_address_or_zip_code,zipcode,date_of_sale,sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
"46-22 161st St,  Flushing NY, 11358",11358,,,2.0,1,1,2,0,2,1.0,1,1,5,3.0,3.0,5.0,25.0,1987.0,800.0,76,,0,
"46-22 161st St,  Flushing NY, 11358",11358,,,2.0,1,1,2,0,2,4.0,1,1,5,3.0,3.0,5.0,25.0,1987.0,800.0,76,,0,
"47-27 Little Neck Pky,  Little Neck NY, 11362",11362,,,1.0,0,0,1,0,0,4.0,1,0,3,,,4.0,26.0,1960.0,,84,550.0,0,
"48-26 44 St,  Woodside NY, 11377",11377,,,9.0,1,1,1,0,1,7.0,1,0,3,,3.0,4.0,30.0,1937.0,600.0,95,783.0,0,
"50-05 43 Ave,  Woodside NY, 11377",11377,,,9.0,1,1,1,0,1,,1,0,4,5.0,3.0,5.0,30.0,1950.0,,98,460.0,0,
"502 Julius Rd,  College Point NY, 11356",11356,,,2.0,1,1,2,0,2,2.0,2,1,7,5.0,3.0,5.0,25.0,1987.0,,64,,0,
"51-14 Haspel St,  Elmhurst NY, 11373",11373,,,9.0,0,0,2,1,2,,1,1,5,5.0,3.0,4.0,4.0,1988.0,,89,,0,
"51-33 Goldsmith St,  Elmhurst NY, 11373",11373,,,9.0,0,0,2,0,1,6.0,1,0,3,4.0,3.0,4.0,24.0,1962.0,663.0,96,,0,
"52-15 65th Place,  Maspeth NY, 11378",11378,,,9.0,0,0,1,0,2,6.0,1,0,4,3.0,3.0,2.0,24.0,1955.0,,81,670.0,0,
"52-21 65th Place, Maspeth, NY 11378",11378,,,9.0,0,0,1,0,2,6.0,1,0,4,3.0,3.0,2.0,24.0,1955.0,,81,670.0,0,
"53-11 90th Street,  Elmhurst NY, 11373",11373,,,9.0,0,0,2,0,2,6.0,1,0,4,3.0,3.0,2.0,29.0,1964.0,872.0,85,,0,
"5-34 115 St,  College Point NY, 11356",11356,,,2.0,1,1,2,1,2,,2,0,6,5.0,3.0,2.0,25.0,1987.0,,53,,0,
"54-40 Little Neck Pky,  Little Neck NY, 11362",11362,,,1.0,1,0,1,0,1,6.0,1,0,3,3.0,3.0,2.0,26.0,1961.0,,76,687.0,95,
"54-40 Little Neck Pky,  Little Neck NY, 11362",11362,,,1.0,0,0,1,0,2,,1,0,4,5.0,3.0,2.0,26.0,1961.0,,76,877.0,0,
"54-40 Little Neck Pky, Little Neck, NY 11362",11362,,,1.0,1,0,1,0,1,,1,0,3,3.0,3.0,2.0,26.0,1961.0,,76,644.0,0,
"54-44 Little Neck Pky,  Little Neck NY, 11362",11362,,,1.0,1,0,1,0,1,,1,0,3,3.0,3.0,2.0,26.0,1961.0,,76,634.0,0,
"55-10 102 St,  Corona NY, 11368",11368,,,9.0,0,0,2,0,1,,1,0,4,3.0,3.0,2.0,25.0,1991.0,1020.0,89,,0,
"56-20 175th Pl,  Fresh Meadows NY, 11365",11365,,,3.0,1,1,2,0,2,2.0,1,0,4,,1.0,4.0,26.0,1955.0,800.0,82,,0,
"57-10 244th St,  Douglaston NY, 11362",11362,,,1.0,1,0,1,0,2,2.0,1,0,5,3.0,1.0,4.0,26.0,1953.0,,76,1022.0,0,
"57-33 Marathon Pky,  Little Neck NY, 11362",11362,,,1.0,1,0,1,0,1,2.0,1,0,3,,3.0,2.0,26.0,1950.0,650.0,85,673.0,0,
"58-03 Calloway St,  Corona NY, 11368",11368,,,9.0,0,0,1,1,0,6.0,1,0,2,5.0,3.0,4.0,24.0,1968.0,,90,511.0,180,
"5804 Main St,  Flushing NY, 11355",11355,,,2.0,0,0,2,0,1,,1,0,3,5.0,3.0,5.0,25.0,2016.0,622.0,89,,0,
"58-04 Main St,  Flushing NY, 11355",11355,,,2.0,0,0,2,0,2,4.0,1,0,4,4.0,3.0,5.0,25.0,2016.0,900.0,89,,0,
"59-21 Calloway St,  Rego Park NY, 11374",11374,,,6.0,0,0,1,0,2,,2,0,4,5.0,3.0,2.0,24.0,1968.0,,88,863.0,0,
"60-11 Broadway,  Woodside NY, 11377",11377,,,9.0,1,1,1,0,3,7.0,2,0,7,4.0,1.0,4.0,30.0,1962.0,1428.0,94,977.0,0,
"60-30 Little Neck Pky,  Little Neck NY, 11362",11362,,,1.0,1,0,1,0,1,2.0,1,0,3,5.0,3.0,2.0,26.0,1950.0,650.0,68,695.0,0,
"61-09 39th Avenue,  Woodside NY, 11377",11377,,,9.0,0,0,2,0,1,,1,0,3,,4.0,4.0,30.0,1927.0,741.0,96,,0,
"61-09 39th Avenue,  Woodside NY, 11377",11377,,,9.0,0,0,2,0,1,,1,0,3,,3.0,4.0,30.0,1927.0,,96,,0,
"61-15 97 St, Rego Park NY, 11374",11374,,,6.0,1,1,1,0,2,15.0,2,0,5,3.0,3.0,2.0,28.0,1962.0,1150.0,93,1003.0,150,
"61-15 97th St,  Rego Park NY, 11374",11374,,,6.0,1,1,1,1,1,15.0,1,0,3,3.0,3.0,4.0,28.0,1962.0,750.0,93,648.0,150,
"61-20 Grand Central Pky, Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,1,15.0,1,0,3,3.0,3.0,2.0,28.0,1967.0,900.0,55,995.0,150,
"61-20 Grand Central Pky,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,2,15.0,1,0,4,5.0,3.0,2.0,28.0,1964.0,1000.0,55,1265.0,0,
"61-20 Grand Central Pky,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,15.0,1,0,5,5.0,3.0,4.0,28.0,1960.0,1050.0,55,1248.0,150,
"61-20 Grand Central Pky,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,15.0,2,0,4,5.0,3.0,2.0,28.0,1965.0,1200.0,55,1601.0,0,
"61-20 Grand Central Pky,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,15.0,2,0,5,5.0,3.0,2.0,28.0,1965.0,1300.0,55,1757.0,0,
"61-20 Grand Central Pky,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,1,3,15.0,2,0,6,3.0,3.0,2.0,28.0,1967.0,1450.0,55,1700.0,0,
"61-20 Grand Central Pky,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,2,15.0,1,0,4,3.0,3.0,2.0,28.0,1964.0,,55,1034.0,0,
"61-20 Grand Central Pky,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,15.0,2,0,4,5.0,3.0,4.0,28.0,1965.0,1300.0,55,1708.0,0,
"61-25 97th St,  Rego Park NY, 11374",11374,,,6.0,1,1,1,1,2,15.0,1,0,4,3.0,3.0,4.0,28.0,1962.0,975.0,93,850.0,150,
"61-25 98 St,  Rego Park NY, 11374",11374,,,6.0,1,1,1,1,3,,2,0,6,5.0,1.0,4.0,28.0,1960.0,1400.0,92,1241.0,150,
"61-25 98th St,  Rego Park NY, 11374",11374,,,6.0,1,1,1,0,1,17.0,1,0,3,3.0,,2.0,28.0,1960.0,,92,642.0,0,
"61-25 98th St,  Rego Park NY, 11374",11374,,,6.0,1,1,1,0,2,17.0,1,0,4,4.0,1.0,5.0,28.0,1955.0,,92,842.0,0,
"61-35 98th St,  Rego Park NY, 11374",11374,,,6.0,0,0,1,0,1,17.0,1,0,4,5.0,3.0,2.0,28.0,1950.0,800.0,94,709.0,160,
"61-35 98th St, Rego Park NY, 11374",11374,,,6.0,1,1,1,1,0,17.0,1,0,0,3.0,1.0,5.0,28.0,1960.0,310.0,94,462.0,160,
"61-39 224 St,  Bayside NY, 11364",11364,,,1.0,0,0,1,0,2,,1,0,4,3.0,1.0,4.0,26.0,1955.0,850.0,75,731.0,80,
"61-55 98th St,  Rego Park NY, 11374",11374,,,6.0,1,1,1,1,1,17.0,1,0,3,3.0,1.0,2.0,6.0,1960.0,700.0,92,675.0,160,
"61-55 98th St,  Rego Park NY, 11374",11374,,,6.0,1,1,1,1,2,17.0,1,0,5,3.0,1.0,2.0,28.0,1960.0,,92,938.0,160,
"62-15 Douglaston Pky,  Douglaston NY, 11362",11362,,,1.0,0,0,2,1,3,3.0,2,1,6,3.0,3.0,4.0,26.0,1971.0,1520.0,72,,0,
"62-54 97th Place,  Rego Park NY, 11374",11374,,,6.0,1,1,2,1,2,16.0,1,1,8,3.0,3.0,5.0,28.0,1988.0,1000.0,96,,56,
"62-59 108th St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,,1,0,4,5.0,3.0,4.0,28.0,1950.0,1200.0,99,718.0,0,
"63-09 108 St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,0,6.0,1,0,2,3.0,3.0,2.0,28.0,1955.0,,87,398.0,0,
"63-09 108th St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,,1,0,6,,3.0,5.0,28.0,1960.0,1550.0,87,811.0,95,
"63-09 108th St, Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,,1,0,6,4.0,3.0,5.0,,1960.0,1250.0,87,811.0,95,
"63-109 Saunders St,  Rego Park NY, 11374",11374,,,6.0,0,0,1,0,1,6.0,1,0,3,5.0,1.0,4.0,28.0,1945.0,,96,643.0,0,
"63-60 102 St, Rego Park NY, 11374",11374,,,6.0,0,0,2,0,2,,1,0,5,3.0,3.0,2.0,29.0,1949.0,,91,,125,
"63-60 102 St., Rego Park, NY 11374",11374,,,6.0,0,0,2,0,2,,2,0,5,4.0,,2.0,28.0,1949.0,,91,,0,
"63-85 Woodhaven Blvd, Rego Park Ny, 11374",11374,,,6.0,0,0,2,0,0,6.0,1,0,2,,3.0,5.0,28.0,1952.0,,89,,0,
"63-93 Woodhaven Blvd,  Rego Park NY, 11374",11374,,,6.0,0,0,2,0,1,6.0,1,0,4,5.0,1.0,4.0,28.0,1952.0,900.0,89,,0,
"64-05 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,2,0,1,5.0,1,0,3,3.0,3.0,4.0,28.0,2008.0,719.0,89,,0,
"64-05 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,1,2,1,2,,2,0,5,3.0,3.0,4.0,28.0,2008.0,1250.0,89,,0,
"64-11 99 St,  Rego Park NY, 11374",11374,,,6.0,0,0,1,0,2,6.0,1,0,4,3.0,3.0,5.0,29.0,1950.0,900.0,92,690.0,0,
"64-11 99 St,  Rego Park NY, 11374",11374,,,6.0,1,1,1,1,3,,2,0,6,5.0,1.0,4.0,28.0,1952.0,1350.0,92,1225.0,150,
"64-34 102nd St,  Rego Park NY, 11374",11374,,,6.0,0,0,1,0,1,6.0,1,0,3,3.0,1.0,5.0,28.0,1955.0,,90,445.0,0,
"64-57 Wetherole St,  Rego Park NY, 11374",11374,,,6.0,0,0,2,0,3,3.0,2,0,6,5.0,3.0,2.0,28.0,1985.0,1160.0,94,,0,
"64-85 Saunders St,  Rego Park NY, 11374",11374,,,6.0,0,0,1,0,0,,1,0,2,,1.0,5.0,26.0,1939.0,,95,482.0,0,
"65-03 242 St,  Douglaston NY, 11362",11362,,,1.0,0,0,2,0,2,,2,0,5,3.0,3.0,4.0,26.0,1960.0,,49,,0,
"65-09 242nd St,  Douglaston NY, 11362",11362,,,1.0,1,1,2,0,1,,1,0,3,,,4.0,26.0,1983.0,,45,,0,
"65-15 38 Ave,  Woodside NY, 11377",11377,,,9.0,0,0,1,0,2,6.0,1,0,5,3.0,1.0,2.0,24.0,1963.0,,96,640.0,0,
"65-15 38th Ave,  Woodside NY, 11377",11377,,,9.0,0,0,1,0,0,,1,0,3,,1.0,2.0,30.0,1952.0,,96,400.0,0,
"65-15 38th Ave,  Woodside NY, 11377",11377,,,9.0,0,0,1,0,2,,2,0,7,3.0,1.0,4.0,30.0,1952.0,,96,720.0,0,
"65-31 223rd Pl,  Bayside NY, 11364",11364,,,1.0,1,1,1,0,2,2.0,1,0,4,3.0,3.0,2.0,26.0,1949.0,,78,859.0,0,
"65-33 38 Ave,  Woodside NY, 11377",11377,,,9.0,1,1,2,0,1,4.0,2,1,6,5.0,3.0,4.0,24.0,2014.0,,96,,0,
"65-41 Booth St,  Rego Park NY, 11374",11374,,,6.0,0,0,1,0,1,6.0,1,0,3,4.0,1.0,4.0,28.0,1939.0,800.0,94,799.0,0,
"65-50 Wetherole St,  Rego Park NY, 11374",11374,,,6.0,0,0,2,1,1,6.0,1,0,3,5.0,1.0,5.0,28.0,1963.0,,90,,225,
"65-50 Wetherole St,  Rego Park NY, 11374",11374,,,6.0,0,0,2,1,0,6.0,1,0,4,5.0,1.0,4.0,28.0,1963.0,860.0,90,,250,
"65-50 Wetherole St,  Rego Park NY, 11374",11374,,,6.0,0,0,2,0,2,1.0,1,0,5,5.0,1.0,5.0,28.0,1963.0,870.0,90,,225,
"65-50 Wetherole St,  Rego Park NY, 11374",11374,,,6.0,0,0,2,1,2,,1,0,5,5.0,1.0,4.0,28.0,1963.0,,90,,0,
"65-50 Wetherole St, Rego Park NY, 11374",11374,,,6.0,0,0,2,1,1,6.0,1,0,4,5.0,1.0,4.0,24.0,1963.0,620.0,90,,225,
"65-74 Saunders St,  Rego Park NY, 11374",11374,,,6.0,0,0,1,0,2,,1,0,5,3.0,3.0,4.0,28.0,1939.0,,93,916.0,0,
"66-01 Burns St,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,1,0,6.0,1,0,3,3.0,1.0,1.0,25.0,1963.0,550.0,88,418.0,0,
"66-10 Thornton Pl,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,0,6.0,1,0,3,3.0,1.0,5.0,28.0,1960.0,,88,410.0,125,
"66-12 Grand Central Pky, Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,3,5.0,3.0,5.0,28.0,1950.0,,41,550.0,0,
"66-15 Wetherole St,  Rego Park NY, 11374",11374,,,6.0,1,0,1,0,1,7.0,1,0,3,3.0,1.0,2.0,28.0,1950.0,700.0,87,671.0,0,
"66-36 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,29.0,1,0,4,3.0,3.0,2.0,28.0,1965.0,1000.0,92,943.0,150,
"66-36 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,29.0,1,0,3,3.0,3.0,2.0,28.0,1965.0,,92,824.0,150,
"66-36 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,30.0,1,0,4,,1.0,5.0,28.0,1965.0,,92,1165.0,0,
"66-60 80th St,  Middle Village NY, 11379",11379,,,6.0,1,0,2,0,2,3.0,2,0,5,4.0,3.0,2.0,24.0,1985.0,1300.0,84,,0,
"66-60 80th St,  Middle Village NY, 11379",11379,,,6.0,1,0,2,0,2,3.0,2,0,5,4.0,3.0,2.0,24.0,1985.0,1300.0,84,,0,
"66-83 70th St,  Middle Village NY, 11379",11379,,,6.0,1,1,2,0,2,5.0,2,0,5,3.0,3.0,2.0,24.0,2007.0,,77,,0,
"66-92 Selfridge St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,6.0,1,0,3,3.0,5.0,2.0,28.0,1956.0,600.0,91,597.0,0,
"67-04 197 St,  Fresh Meadows NY, 11365",11365,,,3.0,1,0,1,0,1,2.0,1,0,3,,3.0,2.0,26.0,1955.0,,69,584.0,125,
"67-06 224 Street,  Bayside NY, 11364",11364,,,1.0,1,1,1,0,2,2.0,1,0,4,3.0,3.0,2.0,26.0,1950.0,,71,908.0,0,
"67-07 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,1,2,1.0,1,0,5,5.0,3.0,2.0,28.0,1955.0,1000.0,90,913.0,130,
"67-12 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,1,1,7.0,1,0,3,3.0,3.0,5.0,28.0,1955.0,750.0,92,632.0,185,
"67-12 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,6.0,1,0,3,5.0,1.0,2.0,28.0,1950.0,,92,534.0,0,
"67-25 Clyde St Forest-Hills NY, 11375",11375,,,6.0,1,1,1,1,2,,1,0,5,3.0,1.0,2.0,28.0,1950.0,,92,929.0,120,
"67-27 Bell Blvd,  Bayside NY, 11364",11364,,,1.0,1,0,1,0,2,2.0,1,0,5,5.0,3.0,4.0,26.0,1950.0,,76,500.0,11,
"67-30 Dartmounth St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,,1,1,5,3.0,3.0,4.0,28.0,1955.0,,93,1103.0,0,
"67-38 108 St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,3,3.0,3.0,4.0,28.0,1945.0,,90,805.0,189,
"67-38 108th St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,6.0,1,0,2,,1.0,5.0,28.0,1949.0,,90,679.0,189,
"67-38 108th Street,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,3,,2,0,5,5.0,3.0,2.0,28.0,1947.0,,90,1410.0,189,
"67-40 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,1,1,6.0,1,0,3,4.0,,4.0,28.0,1951.0,,92,493.0,0,
"67-41 150th St,  Flushing NY, 11367",11367,,,3.0,1,1,1,0,1,2.0,1,0,3,5.0,1.0,2.0,25.0,1955.0,700.0,88,658.0,0,
67-41 BURNS ST FOREST HILLS NY 11375,11375,,,6.0,0,0,1,0,0,6.0,1,0,1,,3.0,2.0,30.0,1960.0,500.0,94,429.0,0,
"67-63 Cloverdale Ln,  Bayside NY, 11364",11364,,,1.0,0,0,2,0,2,,1,0,4,3.0,3.0,4.0,26.0,1950.0,,48,2127.0,0,
"67-66 108 St, Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,3,,2,0,8,,3.0,4.0,28.0,1950.0,,93,1075.0,0,
"67-66 108th St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,1,6.0,1,0,3,4.0,1.0,2.0,28.0,1949.0,621.0,93,612.0,133,
"67-69 223 Pl,  Oakland Gardens NY, 11364",11364,,,1.0,1,1,1,1,2,2.0,1,0,5,3.0,3.0,4.0,26.0,1949.0,,70,899.0,50,
"67-86 150th St,  Flushing NY, 11367",11367,,,3.0,1,1,1,0,1,2.0,1,0,3,3.0,,2.0,25.0,1950.0,,88,658.0,0,
"67-87 Booth St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,6.0,2,0,4,5.0,3.0,4.0,28.0,1932.0,,96,996.0,75,
"68-08 140th St,  Kew Garden Hills NY, 11367",11367,,,3.0,0,0,1,0,2,2.0,1,0,5,5.0,,2.0,25.0,1950.0,865.0,86,1013.0,0,
"68-10 108th St,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,1,6.0,1,0,2,,1.0,5.0,28.0,1940.0,,90,700.0,0,
"68-10 140th St,  Kew Garden Hills NY, 11367",11367,,,3.0,0,0,1,0,2,,1,0,5,5.0,,2.0,25.0,1950.0,,86,1013.0,0,
"68-24-140 St., Kew Garden Hills, NY 11367",11367,,,3.0,0,0,1,0,1,,1,0,4,,3.0,4.0,25.0,1950.0,,86,745.0,0,
"68-61 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,4,3.0,1.0,4.0,28.0,1949.0,750.0,94,740.0,145,
"6861 Yellowstone Blvd, Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,3,7.0,2,0,8,,3.0,2.0,29.0,1954.0,,94,1620.0,140,
"68-61 Yellowstone Blvd., Forest Hills, NY 11375",11375,,,6.0,0,0,1,0,2,5.0,2,0,7,5.0,3.0,2.0,28.0,1956.0,,94,1287.0,0,
"69-09 108th St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,6.0,1,0,3,3.0,1.0,5.0,28.0,1939.0,,92,791.0,0,
"69-10 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,1.0,1,0,4,5.0,3.0,4.0,28.0,1940.0,725.0,98,817.0,150,
"69-10 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,,1,0,5,4.0,,4.0,28.0,1942.0,,98,1050.0,150,
"69-10 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,1,1.0,1,0,3,4.0,1.0,4.0,28.0,1940.0,,98,805.0,0,
"69-21 Bell Blvd,  Bayside NY, 11364",11364,,,1.0,1,0,1,0,2,,1,0,5,5.0,3.0,2.0,26.0,1950.0,,75,542.0,0,
"69-29 210th St,  Bayside NY, 11364",11364,,,1.0,1,0,1,0,1,2.0,1,0,3,3.0,3.0,5.0,26.0,1955.0,,64,578.0,0,
"69-40 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,7.0,2,0,4,4.0,4.0,4.0,28.0,1940.0,1155.0,98,1335.0,0,
"69-40 Yellowstone Blvd, Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,7.0,2,0,5,4.0,4.0,4.0,28.0,1940.0,1231.0,98,1339.0,0,
"69-40 Yellowstone Blvd, Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,4,7.0,2,0,7,4.0,4.0,4.0,28.0,1940.0,1557.0,98,1790.0,0,
"69-45 108th St,  Forest Hills NY, 11375",11375,,,6.0,1,1,2,0,2,9.0,2,0,5,5.0,1.0,4.0,28.0,1950.0,1215.0,98,,0,
"69-48 218 St,  Bayside NY, 11364",11364,,,1.0,1,0,1,0,2,2.0,1,0,5,3.0,3.0,2.0,26.0,1950.0,,75,461.0,0,
"69-55 150 St, Kew Garden Hills NY, 11367",11367,,,3.0,0,0,1,0,1,,1,0,3,5.0,1.0,2.0,25.0,1950.0,,88,652.0,0,
"69-59 136 St,  Flushing NY, 11367",11367,,,3.0,1,1,1,0,2,2.0,1,0,5,3.0,3.0,2.0,25.0,1949.0,,73,753.0,40,
"70-20 108 St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,15.0,2,0,6,5.0,3.0,4.0,28.0,1967.0,1415.0,99,1478.0,180,
"70-20 108th St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,,2,0,5,5.0,3.0,4.0,28.0,1967.0,,99,1317.0,0,
"70-20 108th Street,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,1,1,14.0,1,0,4,,3.0,4.0,28.0,1962.0,752.0,99,750.0,165,
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,1,25.0,1,0,1,3.0,3.0,2.0,28.0,1964.0,625.0,97,687.0,0,
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,0,,1,0,2,,3.0,5.0,28.0,1964.0,,97,540.0,0,
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,1,25.0,1,0,3,3.0,3.0,5.0,28.0,1964.0,,97,897.0,0,
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,1,,1,0,3,3.0,3.0,5.0,28.0,1964.0,,97,715.0,0,
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,3,,3.0,5.0,28.0,1964.0,,97,876.0,0,
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,2,,1,0,4,3.0,3.0,5.0,28.0,1964.0,,97,1092.0,0,
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,2,,1,0,4,5.0,3.0,5.0,28.0,1964.0,,97,1191.0,0,
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,0,,1,0,3,3.0,3.0,5.0,28.0,1964.0,,97,683.0,0,
"70-25 Yellowstone Blvd, Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,1,1.0,1,0,3,3.0,3.0,5.0,28.0,1964.0,,97,851.0,0,
"71-11 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,1.0,1,0,3,5.0,1.0,4.0,28.0,1955.0,800.0,94,,0,
"71-11 Yellowstone Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,0,,1,0,3,3.0,1.0,5.0,28.0,1950.0,,94,677.0,0,
"71-19 252nd St,  Bellerose NY, 11426",11426,,,7.0,1,1,1,0,1,2.0,1,0,4,3.0,1.0,4.0,26.0,1950.0,,55,715.0,0,
"71-21 E Park Dr,  Kew Garden Hills NY, 11367",11367,,,3.0,1,1,2,0,1,2.0,1,0,4,3.0,3.0,2.0,25.0,1950.0,,69,,0,
"71-23 162nd St, Fresh Meadows NY, 11365",11365,,,3.0,0,0,2,0,3,4.0,2,0,8,5.0,3.0,4.0,25.0,2007.0,1400.0,82,,0,
"71-36 110 St, Forest Hills NY 11375",11375,,,6.0,0,0,1,0,1,7.0,1,0,4,,1.0,1.0,28.0,1955.0,700.0,98,1280.0,0,
"71-40 112th. St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,7.0,1,0,5,3.0,3.0,4.0,28.0,1956.0,,96,1042.0,0,
"7-15 162 St.,  Beechhurst NY, 11357",11357,,,2.0,1,0,1,0,1,9.0,1,0,3,3.0,3.0,2.0,25.0,1955.0,850.0,52,858.0,60,
"71-50 160 St,  Flushing NY, 11365",11365,,,3.0,1,1,2,0,3,3.0,2,0,7,5.0,3.0,2.0,25.0,2004.0,1100.0,86,,0,
"71-54 160 St,  Flushing NY, 11365",11365,,,3.0,1,1,2,0,3,3.0,2,0,6,5.0,3.0,2.0,25.0,2004.0,1100.0,86,,0,
"71-60 252,  Bellerose NY, 11426",11426,,,7.0,1,1,1,1,1,,1,0,4,3.0,1.0,4.0,26.0,1950.0,,55,702.0,0,
"72-34 Austin St,  Forest Hills NY, 11375",11375,,,6.0,1,1,2,0,1,6.0,1,0,3,4.0,3.0,4.0,28.0,1940.0,,99,,0,
"72-35 112th St,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,1,14.0,1,0,3,3.0,3.0,2.0,29.0,1969.0,,97,1017.0,0,
"7-24 166 St,  Beechhurst NY, 11357",11357,,,2.0,1,0,1,1,3,8.0,1,0,5,3.0,1.0,2.0,25.0,1955.0,,45,1469.0,0,
"72-81 113th St,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,1,7.0,1,0,2,3.0,3.0,2.0,28.0,1950.0,333.0,94,448.0,0,
"73-01 263rd St,  Glen Oaks NY, 11004",11004,,,7.0,0,0,1,0,1,2.0,1,0,3,3.0,1.0,4.0,26.0,1950.0,585.0,65,514.0,0,
"73-02 Springfield Blvd,  Bayside NY, 11364",11364,,,1.0,0,1,1,0,2,2.0,1,0,4,3.0,1.0,4.0,26.0,1950.0,,65,730.0,0,
"73-12 260th St,  Glen Oaks NY, 11004",11004,,,7.0,1,1,1,0,2,2.0,1,0,4,3.0,3.0,4.0,26.0,1950.0,721.0,68,,0,
"73-12 35th Ave,  Jackson Heights NY, 11372",11372,,,9.0,1,1,1,0,2,6.0,1,0,4,4.0,4.0,5.0,30.0,1940.0,980.0,97,1078.0,0,
"73-12 35th Ave,  Jackson Heights NY, 11372",11372,,,9.0,1,1,1,0,2,6.0,1,0,4,4.0,4.0,5.0,30.0,1940.0,1020.0,97,1099.0,0,
"73-12 35th Ave,  Jackson Heights NY, 11372",11372,,,9.0,1,1,1,0,2,6.0,1,0,4,4.0,4.0,5.0,30.0,1940.0,1171.0,97,1104.0,0,
